# obs: Dai et al.(2019)
# vol: km^3/yr
# area: km^2
No,          river_name,        obs_vol,      rHDMA_vol,    rHDMAlk_vol,rHDMAlk_dfw_vol,rHDMAlk_irrig_vol,     mosart_vol,       obs_area,     rHDMA_area,   rHDMAlk_area,rHDMAlk_dfw_area,rHDMAlk_irrig_area,    mosart_area
01,              Amazon,         5433.4,         4791.4,         4777.9,         4776.0,         4774.2,         4797.3,        4618750,        4671598,        4671598,        4671598,        4671598,        4633734
02,               Congo,         1348.6,         1218.4,         1214.2,         1210.6,         1214.3,         1242.6,        3475000,        3615448,        3615448,        3615448,        3615448,        3711149
03,             Orinoco,          978.5,          867.8,          865.8,          865.6,          865.5,          884.6,         836000,         821602,         821602,         821602,         821602,         836089
04,          Changjiang,          862.9,          903.5,          900.2,          899.5,          897.8,          953.5,        1705383,        1678381,        1678381,        1678381,        1678381,        1734792
05,         Brahmaputra,          580.0,          466.8,          465.6,          465.2,          462.5,          510.8,         554542,         513949,         513949,         513949,         513949,         554204
06,         Mississippi,          559.7,          805.1,          803.2,          802.5,          795.3,          866.9,        2896021,        2884792,        2884792,        2884792,        2884792,        2993467
07,             Yenisey,          568.9,          456.4,          455.1,          454.0,          455.1,          473.8,        2440000,        2443926,        2443926,        2443926,        2443926,        2676174
08,              Parana,          485.7,          781.9,          781.7,          781.3,          779.5,          865.2,        2346000,        2521089,        2521089,        2521089,        2521089,        2539708
09,                Lena,          530.7,          301.1,          300.8,          298.6,          300.8,          292.1,        2430000,        2437270,        2437270,        2437270,        2437270,        2249709
10,              Mekong,          310.6,          306.1,          306.9,          306.3,          303.4,          334.4,         545000,         548205,         548205,         548205,         548205,         560768
11,           Tocantins,          342.6,          408.3,          408.2,          408.4,          408.0,          391.6,         742300,         757304,         757304,         757304,         757304,         735390
12,                  Ob,          414.9,          473.7,          472.6,          472.4,          471.8,          443.2,        2430000,        2877919,        2877851,        2877851,        2877851,        2487688
13,              Ganges,          355.9,          405.5,          403.7,          403.0,          379.3,          456.1,         951600,         928331,         928331,         928331,         928331,         955436
14,           Irrawaddy,          236.0,          149.7,          149.2,          149.1,          149.1,          121.9,         117900,         123869,         123869,         123869,         123869,         101229
15,         St Lawrence,          236.6,          407.3,          387.4,          386.3,          387.6,          430.6,         773888,         773333,         773333,         773333,         773333,         755059
16,                Amur,          265.4,          273.8,          274.1,          273.4,          273.3,          293.5,        1730000,        1876740,        1876740,        1876740,        1876740,        1912776
17,           Mackenzie,          293.2,          240.4,          240.7,          239.8,          240.7,          239.9,        1660000,        1673081,        1673081,        1673081,        1673081,        1678890
18,             Xijiang,          214.4,          234.9,          234.5,          234.2,          233.9,          253.4,         329705,         313546,         313546,         313546,         313546,         332654
19,            Columbia,          165.8,          172.4,          171.9,          171.6,          167.0,          147.7,         613827,         601898,         601898,         601898,         601898,         610265
20,           Magdalena,          223.2,          344.1,          314.7,          314.7,          313.9,          278.1,         257438,         258070,         258070,         258070,         258070,         257901
21,             Uruguay,          170.2,          169.9,          169.5,          169.2,          169.1,          179.8,         249312,         244074,         244074,         244074,         244074,         251399
22,               Yukon,          192.3,          131.9,          131.5,          130.9,          131.5,          135.2,         831386,         819580,         819572,         819572,         819572,         831140
23,              Danube,          225.8,          277.3,          275.1,          274.8,          274.3,          271.2,         807000,         779964,         779964,         779964,         779964,         742198
24,               Niger,          178.7,          377.0,          376.1,          375.4,          374.6,          422.5,        2209302,        2062309,        2062309,        2062309,        2062309,        2258762
25,               Xingu,          265.3,          340.2,          339.2,          339.1,          339.2,          320.4,         446388,         447034,         447034,         447034,         447034,         466385
26,              Atrato,           56.0,           33.9,           11.2,           11.2,           11.2,           21.7,           9432,           9390,           9390,           9390,           9390,           9224
27,             Tapajos,          328.3,          320.1,          318.9,          318.8,          318.9,          325.6,         387378,         387406,         387406,         387406,         387406,         388316
28,               Ogoou,          146.2,          134.9,          132.1,          131.8,          132.1,          123.0,         203500,         203696,         203696,         203696,         203696,         207058
29,           Essequibo,           69.2,           34.5,           34.5,           34.4,           34.5,           41.4,          66600,          68582,          68582,          68582,          68582,          67856
30,              Fraser,           88.8,           79.5,           79.0,           79.0,           79.0,           74.1,         217000,         216551,         216551,         216551,         216551,         217782
31,             Pechora,          147.1,          124.5,          124.0,          123.9,          124.0,          129.3,         312000,         303550,         303550,         303550,         303550,         307957
32,              Nelson,           79.6,          132.1,          131.2,          130.8,          130.8,          150.2,         997000,         945618,         942389,         942389,         942389,        1000478
33,            Khatanga,          176.8,           63.1,           63.0,           63.0,           63.0,           61.6,         275000,         272452,         272452,         272452,         272452,         287151
34,               Sepik,          125.6,           86.8,           87.3,           87.3,           87.3,          102.3,          40922,          39908,          39908,          39908,          39908,          43151
35,              Kolyma,           95.9,           77.2,           77.0,           76.4,           77.0,           84.1,         526000,         535994,         535994,         535994,         535994,         559969
36,             Zambeze,          105.2,          121.6,          121.2,          120.9,          120.5,          129.4,         940000,        1103291,        1103291,        1103291,        1103291,        1103077
37,     Severnaya Dvina,           95.3,           97.1,           96.9,           96.9,           96.9,           83.5,         348000,         313032,         313032,         313032,         313032,         272773
38,               Indus,           71.0,          170.3,          169.9,          169.4,          128.6,          167.6,         975000,         844094,         844094,         844094,         844094,         923048
39,              Sanaga,           57.5,          106.7,          105.8,          105.7,          105.8,           79.4,         131500,         131849,         131849,         131849,         131849,         119983
40,            Godavari,           82.0,          106.1,          105.4,          105.2,           95.4,          120.8,         299320,         308200,         308200,         308200,         308200,         335035
41,              Rajang,           74.3,           86.4,           86.2,           86.1,           86.2,           84.1,          34053,          35176,          35176,          35176,          35176,          37064
42,       Sao Francisco,           89.8,          162.5,          161.4,          161.1,          160.0,          145.8,         622600,         626522,         626522,         626522,         626522,         636619
43,          Usumacinta,           62.4,           58.5,           57.6,           57.6,           57.6,           64.5,          50743,          49697,          49697,          49697,          49697,          56377
44,              Maroni,           56.2,           64.9,           64.7,           64.6,           64.7,           71.5,          63700,          63462,          63462,          63462,          63462,          64804
45,               Rhine,           72.8,           88.5,           88.1,           88.0,           88.1,           92.6,         180000,         160831,         160831,         160831,         160831,         178453
46,              Purari,           69.8,           50.8,           50.8,           50.8,           50.8,           83.4,          28749,          25676,          25676,          25676,          25676,          39944
47,         Caniapiscau,           53.8,           63.6,           63.4,           63.3,           63.4,           68.4,          86800,          88591,          88591,          88591,          88591,          92420
48,            Mahanadi,           59.4,           64.9,           64.8,           64.7,           60.2,           69.6,         132090,         119695,         119695,         119695,         119695,         126655
49,          Sacramento,           22.1,           38.2,           36.5,           36.3,           34.8,           35.1,          60885,          67535,          67535,          67535,          67535,          80344
50,                Elbe,           25.1,           39.8,           39.7,           39.6,           39.6,           38.7,         123532,         122897,         122897,         122897,         122897,         127906
