# obs: Dai et al.(2019)
# vol: km^3/yr
# area: km^2
No,          river_name,            obs_vol,        rHDMAlk_vol, f09_f09_mosart_vol,            obs_area,        rHDMAlk_area, f09_f09_mosart_area
01,              Amazon,             5433.4,             4777.9,             4797.3,             4618750,             4671598,             4633734
02,               Congo,             1348.6,             1214.2,             1242.6,             3475000,             3615448,             3711149
03,             Orinoco,              978.5,              865.8,              884.6,              836000,              821602,              836089
04,          Changjiang,              862.9,              900.2,              953.5,             1705383,             1678381,             1734792
05,         Brahmaputra,              580.0,              465.6,              510.8,              554542,              513949,              554204
06,         Mississippi,              559.7,              803.2,              866.9,             2896021,             2884792,             2993467
07,             Yenisey,              568.9,              455.1,              473.8,             2440000,             2443926,             2676174
08,              Parana,              485.7,              781.7,              865.2,             2346000,             2521089,             2539708
09,                Lena,              530.7,              300.8,              292.1,             2430000,             2437270,             2249709
10,              Mekong,              310.6,              306.9,              334.4,              545000,              548205,              560768
11,           Tocantins,              342.6,              408.2,              391.6,              742300,              757304,              735390
12,                  Ob,              414.9,              472.6,              443.2,             2430000,             2877851,             2487688
13,              Ganges,              355.9,              403.7,              456.1,              951600,              928331,              955436
14,           Irrawaddy,              236.0,              149.2,              121.9,              117900,              123869,              101229
15,         St Lawrence,              236.6,              387.4,              430.6,              773888,              773333,              755059
16,                Amur,              265.4,              274.1,              293.5,             1730000,             1876740,             1912776
17,           Mackenzie,              293.2,              240.7,              239.9,             1660000,             1673081,             1678890
18,             Xijiang,              214.4,              234.5,              253.4,              329705,              313546,              332654
19,            Columbia,              165.8,              171.9,              147.7,              613827,              601898,              610265
20,           Magdalena,              223.2,              314.7,              278.1,              257438,              258070,              257901
21,             Uruguay,              170.2,              169.5,              179.8,              249312,              244074,              251399
22,               Yukon,              192.3,              131.5,              135.2,              831386,              819572,              831140
23,              Danube,              225.8,              275.1,              271.2,              807000,              779964,              742198
24,               Niger,              178.7,              376.1,              422.5,             2209302,             2062309,             2258762
25,               Xingu,              265.3,              339.2,              320.4,              446388,              447034,              466385
26,              Atrato,               56.0,               11.2,               21.7,                9432,                9390,                9224
27,             Tapajos,              328.3,              318.9,              325.6,              387378,              387406,              388316
28,               Ogoou,              146.2,              132.1,              123.0,              203500,              203696,              207058
29,           Essequibo,               69.2,               34.5,               41.4,               66600,               68582,               67856
30,              Fraser,               88.8,               79.0,               74.1,              217000,              216551,              217782
31,             Pechora,              147.1,              124.0,              129.3,              312000,              303550,              307957
32,              Nelson,               79.6,              131.2,              150.2,              997000,              942389,             1000478
33,            Khatanga,              176.8,               63.0,               61.6,              275000,              272452,              287151
34,               Sepik,              125.6,               87.3,              102.3,               40922,               39908,               43151
35,              Kolyma,               95.9,               77.0,               84.1,              526000,              535994,              559969
36,             Zambeze,              105.2,              121.2,              129.4,              940000,             1103291,             1103077
37,     Severnaya Dvina,               95.3,               96.9,               83.5,              348000,              313032,              272773
38,               Indus,               71.0,              169.9,              167.6,              975000,              844094,              923048
39,              Sanaga,               57.5,              105.8,               79.4,              131500,              131849,              119983
40,            Godavari,               82.0,              105.4,              120.8,              299320,              308200,              335035
41,              Rajang,               74.3,               86.2,               84.1,               34053,               35176,               37064
42,       Sao Francisco,               89.8,              161.4,              145.8,              622600,              626522,              636619
43,          Usumacinta,               62.4,               57.6,               64.5,               50743,               49697,               56377
44,              Maroni,               56.2,               64.7,               71.5,               63700,               63462,               64804
45,               Rhine,               72.8,               88.1,               92.6,              180000,              160831,              178453
46,              Purari,               69.8,               50.8,               83.4,               28749,               25676,               39944
47,         Caniapiscau,               53.8,               63.4,               68.4,               86800,               88591,               92420
48,            Mahanadi,               59.4,               64.8,               69.6,              132090,              119695,              126655
49,          Sacramento,               22.1,               36.5,               35.1,               60885,               67535,               80344
50,                Elbe,               25.1,               39.7,               38.7,              123532,              122897,              127906
